course code,course title,ATTRIBUTES,EXCLUSION,DESCRIPTION,PRE-REQUISITE,CO-REQUISITE,VECTOR,PREVIOUS CODE,INTENDEDLEARNINGOUTCOMES,CO-LIST WITH,ALTERNATE CODE(S)
MASS 5180,MASS 5180 - Migration and Globalization (3 units),,SOSC 5660,This course aims to explore the interrelationship between population changes/ migration and economic development in the era of globalization. Special attention is given to labor migration in China and international migration in China/HKSAR.,,,[3-0-0:3],SSMA 5180,"On successful completion of the course, students will be able to:1.Conduct simple demographic analyses, such as population forecast, as well as tempo and international comparison of levels of fertility or mortality.2.Apply models and theories of migration to labor migration in and from developing countries, as well as transnational human capital transfer.3.Conduct PowerPoint presentation of research of social science topics.",,
MASS 5982,MASS 5982 - Social Cognition (3 units),,,"This course introduces a psychological perspective in understanding human behavior. It evaluates how psychological research is conducted, and covers major psychological concepts and theories.",,,[3-0-0:3],"MASS 5040, SSMA 5040, SSMA 504","On successful completion of the course, students will be able to:1.Identify key theories and concepts in understanding human behavior from a psychological perspective.2.Apply the theories and concepts to their own experiences and daily lives.3.Explain how psychological research is conducted and how psychologists investigate human behavior scientifically.4.Recognize the scientific basis of psychology.",,
MATH 1012,MATH 1012 - Calculus IA (4 units),Common Core (QR) for 36-credit program,"Level 3 or above in HKDSE Mathematics Extended Module M1 or M2; AL Pure Mathematics; AL Applied Mathematics; MATH 1003, MATH 1013, MATH 1014, MATH 1020, MATH 1023, MATH 1024","This is an introductory course in one-variable calculus, the first in the Calculus I and II sequence, designed for students that have not taken HKDSE Mathematics Extended Module M1 or M2. Topics include functions and their limits, continuity, derivatives and rules of differentiation, applications of derivatives, and basic integral calculus.",,,,,,MATH 1013,
MATH 1013,MATH 1013 - Calculus IB (3 units),Common Core (QR) for 36-credit program,"AL Pure Mathematics; AL Applied Mathematics; MATH 1012, MATH 1014, MATH 1020, MATH 1023, MATH 1024","This is an introductory course in one-variable calculus, the first in the Calculus I and II sequence, designed for students that have taken HKDSE Mathematics Extended Module M1/M2. Topics include functions and their limits, continuity, derivatives and rules of differentiation, applications of derivatives, and basic integral calculus.",Level 3 or above in HKDSE Mathematics Extended Module M1/M2,,,,,MATH 1012,
MATH 1014,MATH 1014 - Calculus II (3 units),,"AL Pure Mathematics; AL Applied Mathematics; MATH 1020, MATH 1024","This is an introductory course in one-variable calculus, the second in the MATH 1013 â MATH 1014 sequence. Topics include applications of definite integral, improper integrals, vectors, curves and parametric equations, modeling with differential equations, solving simple differential equations, infinite sequences and series, power series and Taylor series.",MATH 1012 OR MATH 1013 OR MATH 1023 OR grade A- or above in MATH 1003,,,,,,
MATH 1024,MATH 1024 - Honors Calculus II (3 units),,"AL Pure Mathematics; AL Applied Mathematics; MATH 1014, MATH 1020","This is the second in the sequence MATH 1023 - MATH 1024 of honors courses in one-variable calculus, with particular emphasis on rigorous mathematical reasoning. Topics include integral calculus, techniques of integration, improper integrals, applications of integrals, infinite series. Some rigorous theoretical results on integration and infinite series will be discussed.",MATH 1012 OR MATH 1013 OR MATH 1023,,,,,,
MATH 2011,MATH 2011 - Introduction to Multivariable Calculus (3 units),,MATH 2023,"Differentiation in several variables, with applications in approximation, maximum and minimum and geometry. Integration in several variables, vector analysis.",A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014; OR MATH 1020; OR MATH 1024,,,,,,
MATH 2023,MATH 2023 - Multivariable Calculus (4 units),,MATH 2011,"Sequences, series, gradients, chain rule. Extrema, Lagrange multipliers, line integrals, multiple integrals. Green's theorem, Stoke's theorem, divergence theorem, change of variables.",A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,,,,,,
MATH 2033,MATH 2033 - Mathematical Analysis (4 units),,MATH 2043,"Sets and functions, real numbers, limits of sequences and series, limits of functions, continuous functions, differentiation, Riemann integration, additional topics.",A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,,,,,,
MATH 2043,MATH 2043 - Honors Mathematical Analysis (4 units),,MATH 2033,"The MATH 2043 and 3043 is a rigorous sequence in analysis on the line and higher dimensional Euclidean spaces. Limit, continuity, least upper bound axiom, open and closed sets, compactness, connectedness, differentiation, uniform convergence, and generalization to higher dimensions. Enrollment in the course requires approval of the course instructor.",Grade A in AL Pure Mathematics; or grade A- or above in MATH 1014/MATH 1020/MATH 1024,,,,,,
MATH 2111,MATH 2111 - Matrix Algebra and Applications (3 units),,"MATH 2121, MATH 2131, MATH 2350","Systems of linear equations; vector spaces; linear transformations; matrix representation of linear transformations; linear operators, eigenvalues and eigenvectors; similarity invariants and canonical forms.",A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,,,,,,
MATH 2121,MATH 2121 - Linear Algebra (4 units),,"MATH 2111, MATH 2131, MATH 2350","Vector space, matrices and system of linear equations, linear mappings and matrix forms, inner product, orthogonality, eigenvalues and eigenvectors, symmetric matrix.",A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,,,,,,
MATH 2343,MATH 2343 - Discrete Structures (4 units),,"COMP 2711, COMP 2711H","Logic: propositions, axiomatization of propositional calculus, deduction theorem, completeness and soundness. Combinatorics: permutations and combinations, generating functions. Set theory: basic operations on sets, relations, countable and uncountable sets.  Third year and fourth year students require instructor's approval to take the course. ",A passing grade in AL Pure Mathematics / AL Applied Mathematics; or MATH 1014; or MATH 1020; or MATH 1024,,,,,,
MATH 2350,MATH 2350 - Applied Linear Algebra and Differential Equations (3 units),,"MATH 2111, MATH 2121, MATH 2131, MATH 2351, MATH 2352, PHYS 2124","This course provides a concise introduction to linear algebra and differential equations, with exposure to the use of numerical computing software like MATLAB. Topics include systems of linear equations, matrix algebra and determinants, language of vector spaces and inner product spaces, eigenvalue and eigenvector, first order ODEs, linear second order ODEs and oscillations, and homogeneous system of first order ODEs with constant coefficients.",A passing grade in AL Pure Mathematics / AL Applied Mathematics OR MATH 1014 OR MATH 1020 OR MATH 1024,,,,,,
MATH 2351,MATH 2351 - Introduction to Differential Equations (3 units),,"MATH 2350, MATH 2352, PHYS 2124","First order equations and applications, second order equations, Laplace transform method, series solutions, system of linear equations, nonlinear equations and linear stability analysis, introduction to partial differentiation and partial differential equations, separation of variables, and Fourier series.",A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,,,,,,
MATH 2352,MATH 2352 - Differential Equations (4 units),,"MATH 2350, MATH 2351, PHYS 2124","First and second order differential equations, initial value problems, series solutions, Laplace transform, numerical methods, boundary value problems, eigenvalues and eigenfunctions, Sturm-Liouville theory.",MATH 2111 OR MATH 2121 OR MATH 2131,,,,,,
MATH 2411,MATH 2411 - Applied Statistics (4 units),,"IEDA 2510 (prior to 2018-19), IEDA 2540, ISOM 2500, LIFS 3150","A systematic introduction to statistical inference, including the necessary probabilistic background, point and interval estimation, hypothesis testing.",A passing grade in AL Pure Mathematics / AL Applied Mathematics OR MATH 1014 OR MATH 1020 OR  MATH 1024,,,,,,
MATH 2421,MATH 2421 - Probability (4 units),,"IEDA 2510 (prior to 2018-19), IEDA 2520, MATH 2431, ELEC 2600, ELEC 2600H, ISOM 3540","Sample spaces, conditional probability, random variables, independence, discrete and continuous distributions, expectation, correlation, moment generating function, distributions of function of random variables, law of large numbers and limit theorems.",MATH 1014 OR MATH 1020 OR MATH 1024,MATH 2011 OR MATH 2023,,,,,
MATH 2431,MATH 2431 - Honors Probability (4 units),,"ELEC 2600, ELEC 2600H, ISOM 3540, MATH 2421","This is an honors undergraduate course in probability theory. Topics include probability spaces and random variables, distributions (absolutely continuous and singular distributions) and probability densities, moment inequalities, moment generating functions, conditional expectations, independence, conditional distributions, convergence concepts (weak, strong and in distribution), law of large numbers (weak and strong) and central limit theorem. Some rigorous theoretical results in probability will be discussed.",(Grade A- or above in MATH 1014) OR MATH 1020 OR MATH 1024,MATH 2011 OR MATH 2023,,,,,
MATH 3033,MATH 3033 - Real Analysis (4 units),,MATH 3043,"Functions of several variables, implicit and inverse function theorem, uniform convergence measure and integral on the real line.",(MATH 2011 / MATH 2023) AND (MATH 2033 / MATH 2043) AND (MATH 2111 / MATH 2121 / MATH 2131 / MATH 2350),,,,,,
MATH 3131,MATH 3131 - Honors in Linear and Abstract Algebra II (4 units),,,"The MATH 2131 and 3131 is a sequence of highly rigorous introduction to linear algebra and abstract algebra. Groups, rings, homomorphisms, quotients, group actions, polynomial rings, Chinese remainder theorem, field extensions.",Grade B- or above in MATH 2131,,,,,,
MATH 3322,MATH 3322 - Matrix Computation (3 units),,,"This course will introduce some basic matrix analysis theory and some popular matrix computation algorithms, and illustrate how they are actually used in data science. Specific topics include advanced linear algebra such as orthogonal projections and vector and matrix norms; the theories and computations of matrix factorizations such as QR decomposition, Singular Value Decomposition (SVD), and Schur decomposition; and applications to data analysis problems such as principle component analysis via SVD and collaborative filtering via matrix completion.",MATH 2111 OR MATH 2121 OR MATH 2131 OR MATH 2350,,,,,,
MATH 3424,MATH 3424 - Regression Analysis (3 units),,ISOM 5520,"Estimation and hypothesis testing in linear regression, residual analysis, multicollinearity, indicator variables, variable selection, nonlinear regression.",MATH 3423,,,,,,
MATH 3425,MATH 3425 - Stochastic Modeling (3 units),,,"Discrete time Markov chains and the Poisson processes. Additional topics include birth and death process, elementary renewal process and continuous-time Markov chains.",MATH 2421 OR MATH 2431,,,,,,
MATH 4023,MATH 4023 - Complex Analysis (3 units),,,"Complex differentiability; Cauchy-Riemann equations; contour integrals, Cauchy theory and consequences; power series representation; isolated singularities and Laurent series; residue theorem; conformal mappings.",(MATH 2011 OR MATH 2023 OR MATH 3043) AND (MATH 2033 OR MATH 2043),,,,,,
MATH 4033,MATH 4033 - Calculus on Manifolds (3 units),,,"Introduction to manifolds, metric spaces, multi-linear Algebra, differential forms, Stokes theorem on manifolds, cohomology.",Grade A- or above in MATH 2023 AND B- or above in MATH 2131,,,,,,
MATH 4051,MATH 4051 - Theory of Ordinary Differential Equations (3 units),,,"Existence and uniqueness theorems of ordinary differential equations, theory of linear systems, stability theory, study of singularities, boundary value problems.",(MATH 2350 OR MATH 2351 OR MATH 2352) AND (MATH 3033 OR MATH 3043),,,,,,
MATH 4225,MATH 4225 - Topology (3 units),,,"Metric, topology, continuous map, Hausdorff, connected, compact, graph, Euler number, CW-complex, classification of surfaces.",MATH 2033/MATH 2043,,,,,,
MATH 4321,MATH 4321 - Game Theory (3 units),,ECON 4124,Zero-sum games; minimax theorem; games in extensive form; strategic equilibrium; bi-matrix games; repeated Prisonner's Dilemma; evolutionary stable strategies; games in coalition form; core; Shapley Value; Power Index; two-side matching games.,(MATH 2011 OR MATH 2023 OR MATH 3043) AND (MATH 2111 OR MATH 2121 OR MATH 2131 OR MATH 2350),,,,,,
MATH 4326,MATH 4326 - Introduction to Fluid Dynamics (3 units),,"CIVL 2510, MECH 2210","Lagrangian and Eulerian methods for the flow description; derivation of the Euler and Navier-Stokes equations; sound wave and Mach number; 2D irrotational flow; elements of aerofoil theory; water wave dispersion relation; shallow water waves; ship wave pattern; dynamics of real fluid, stokes flow and boundary layer theory.",MATH 4052,,,,,,OCES 4326
MATH 4335,MATH 4335 - Introduction to Optimization (3 units),,,"This course introduces fundamental theory and techniques of optimization. Topics include linear programming, unconstrained optimization, and constrained optimization. Numerical implementations of optimization methods are also discussed.",(MATH 2011 OR MATH 2023) AND (MATH 2111 OR MATH 2121 OR MATH 2131),,,,,,
MATH 4425,MATH 4425 - Introductory Time Series (3 units),,,"Stationarity, (partial) auto-correlation function, ARIMA modeling, order selection, diagnostic, forecasting, spectral analysis.",MATH 3423 and MATH 3424,,,,,,
MATH 4426,MATH 4426 - Survival Analysis (3 units),,,"The topics discussed in this course include basic quantities like hazard rate function, survival function, censoring and/or truncation; parametric estimation of the survival distribution by maximum likelihood estimation method; nonparametric estimation of the survival functions from possibly censored samples; parametric regression models; Cox's semi-parametric proportional hazards regression model; and multivariate survival analysis.",MATH 3423,,,,,,
MATH 4512,MATH 4512 - Fundamentals of Mathematical Finance (3 units),,,"Duration and horizon rate of return, bond portfolio management and immunization; mean-variance formulation of portfolio choices of risky assets; Two-fund theorem and One-fund theorem; asset pricing under the capital asset pricing models and factor models; investment performance analysis; utility optimization in investment decisions; stochastic dominance.",(MATH 2011 / MATH 2023) AND (MATH 2111 / MATH 2121 / MATH 2131 / MATH 2350) AND (IEDA 2540 / ISOM 2500 / LIFS 3150 / MATH 2411) AND (MATH 2511 / FINA 2203 / FINA 2303),,,,,,
MATH 4513,MATH 4513 - Life Contingencies Models and Insurance Risk (3 units),,,"The topics discussed in this course include survival models, life tables and selection, insurance benefits, annuities, premium calculation, and insurance policy values.",ELEC 2600 OR ISOM 3540 OR MATH 2421 OR MATH 2431,,,,,,RMBI 4220
MATH 4514,MATH 4514 - Financial Economics in Actuarial Science (3 units),,FINA 3203,"The course aims to study some actuarial models and their applications in derivative pricing and financial risk management. Topics include introduction to various derivatives such as forward, futures, European/ American options, exotic options and interest rate derivatives, uses of various options strategies in portfolio management, pricing options using binomial tree model, Black Scholes formula for options pricing and its extension, Options Greeks and their applications in hedging, use of Monte Carlo simulation in options pricing, pricing of interest rate derivatives using the Black-Derman-Toy tree. The course also prepares students to take the Exam MFE (Models for Financial Economics) of the Society of Actuaries.",(MATH 2421 OR MATH 2431) AND MATH 2511,,,,,,
MATH 4900,MATH 4900 - Academic and Professional Development (1 unit),,,"This course is for academic and professional development of students. The course arranges seminars and small group activities to expose students to mathematics in real life, explore their possible career choice, and enhance the interactions between students and faculties. Activities may include seminars, workshops, advising and sharing sessions, interaction with faculty and teaching staff, and discussion with student peers or alumni. Graded P or F. For MATH students only.",,,,,,,
MATH 4985E,MATH 4985E - Independent Study: Stochastic Calculus (3 units),,,"This is an independent course on Brownian Motion, Martingales and Stochastic Calculus. It will be based on the following book: Brownian Motion, Martingales and Stochastic Calculus, by Le Gall. Students should seek the course instructor's approval to take this course.",,,,,,,
MATH 4985F,MATH 4985F - Independent Study: Using E-learning Tools in Teaching Undergraduate Level Mathematics (3 units),,,"In this course, the student will learn all the techniques of using various e-learning tools GeoGebra, from the basic to the advanced one. Then the student needs to using the knowledge to design a series of lessons involving the use of interactive e-learning tools for teaching specific topics in undergraduate level mathematics.  Students should seek the course instructor's approval to take this course.",,,,,,,
MATH 4991,MATH 4991 - Capstone Project in Pure Mathematics (3 units),,"MATH 4992, MATH 4993, MATH 4994, MATH 4999",This is a project-based course that provides students an opportunity to integrate and apply mathematical tools to analyze problems in pure mathematics. Specific topics will be chosen by the instructor. For MATH students in their fourth year of study only.,MATH 3121 OR MATH 3131,,,,,,
MATH 4999,MATH 4999 - Independent Capstone Project (3 units),,"MATH 4991, MATH 4992, MATH 4993, MATH 4994",A capstone project conducted under the supervision of a faculty member. A written report is required. Students need to individually seek a faculty mentor's consent prior to enrollment in this course.,,,,,,,
MATH 5143,MATH 5143 - Introduction to Lie Algebras (3 units),,,"Lie algebras. Nilpotent, solvable and semisimple Lie algebras. Universal enveloping algebras and PBW-theorem. Cartan subalgebras. Roots system, Weyl group, and Dynkin diagram. Classification of semisimple Lie algebras. Representations of semisimple algebras. Weyl character formula. Harish-Chandra isomorphism theorem.",MATH 2131 and MATH 3131,,[3-0-0:3],MATH 514,"On successful completion of the course, students will be able to:1.Understand the concepts and basic techniques of Lie algebras and their representations.2.Descrition of the root systems of semisimple Lie algebras.3.Learn the properties of Weyl groups.4.Classify simply Lie algebra by irreducible root systems.5.Study Verma modules and irreducible highest weight modules.",,
MATH 5261,MATH 5261 - Algebraic Geometry II (3 units),,,"Derived functors, cohomology of coherent sheaves on schemes, extension groups of sheaves, higher direct image of sheaves, Serre duality, flat morphisms, smooth morphisms, and semi-continuity, basics of curves and surfaces.",MATH 5251,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Deeper understanding of using algebra to study geometry.2.Learn the key geometry concepts of schemes using algebraic methods.3.Master the viewpoint of Grothendieck's cohomology formulation.4.Study various cohomology of coherent sheaves.",,
MATH 5281,MATH 5281 - Partial Differential Equations (3 units),,,"This is an introductory postgraduate course on Partial Differential Equations (PDEs). We will start with the classical prototype linear PDEs, and introduce a variety of tools and methods. Then we will extend our beginning theories to general situation using the notion of Sobolev spaces, Holder space and weak solutions. We will prove the existence, uniqueness, regularity and other properties of weak solutions.",,,[3-0-0:3],MATH 6050E,"On successful completion of the course, students will be able to:1.Recognize the types of second-order PDEs as typified by classical equations of mathematical physics, such as the wave equation, heat equation and Laplace equation.2.Identify and describe the major theories of general PDEs.3.Apply the tools of calculus, linear algebra and real analysis in a coherent way to PDE problems.4.Apply the knowledge of PDEs to physical sciences and engineering, and physically interpret the solutions.5.Use different methods, such as Fourier transform, separation variables, characteristics, similarity, power series to solve PDEs.",,
MATH 5312,MATH 5312 - Advanced Numerical Methods II (3 units),,,"Direct and iterative methods. Programming techniques and softwares libraries. Sparse solvers, Fast algorithms, multi-grid and domain decomposition techniques.",MATH 5311,,[3-0-0:3],MATH 532,"On successful completion of the course, students will be able to:1.Understand direct and iterative algorithms for solving linear systems, and their convergence theory. 2.Identify suitable algorithms to solve linear equations arising from practical science and engineering problems, and implement them on a computing platform.3.Understand algorithms and theories of other numerical linear algebra problems including the least squares problem and the eigenvalue problem.",,
MATH 5352,MATH 5352 - Mathematical Methods in Science and Engineering II (3 units),,,"Asymptotic methods and perturbation theory for obtaining approximate analytical solutions to differential equations. Topics include: local analysis of solutions to differential equations, asymptotic expansion of integrals, global analysis and perturbation methods, WKB theory, multiple-scale analysis, homogenization method.",MATH 5351,,[3-0-0:3],MATH 552,"On successful completion of the course, students will be able to:1.Demonstrate abilities to obtain approximate analytical solutions  to differential equations by asymptotic methods.2.Identify perturbation problems in science and engineering.3.Demonstrate abilities to understand the errors of the obtained approximate analytical solutions.",,
MATH 5450,MATH 5450 - Stochastic Processes (3 units),,,"Theory of Markov processes, second order stationary theory, Poisson and point processes, Brownian motion, Martingales and queueing theory.",,,[3-0-0:3],MATH 545,"On successful completion of the course, students will be able to:1.Introduce the general concept of stochastic process  and Markov chain.2.Study the properties of  Markov chain   and  its limiting distributions.3.Study the periodic Markov chain and its properties.4.Study  martingale convergence theory and option sampling theory.5. Study  Brownian motion and its properties.",,
MATH 5473,MATH 5473 - Topological and Geometric Data Reduction and Visualization (3 units),,CSIC 5011,"This course is a mathematical introduction to data analysis and visualization with a perspective of topology and geometry. Topics covered include: classical linear dimensionality reduction, the principal component analysis (PCA) and its dual multidimensional scaling (MDS), as well as extensions to manifold learning, topological data analysis, and sparse models in applied math/high dimensional statistics. Extensive application examples in biology, finance, and information technology are presented along with course projects.",,,[3-0-0:3],MATH 6380Q,"On successful completion of the course, students will be able to:1.Explain the basics concept of dimensional reduction.2.Use Compressed Sensing and High Dimensional Statistics techniques for data analysis.3.Use Manifold learning approach for applications.4.Apply the data analysis method in applications.",CSIC 5011,
MATH 6380V,MATH 6380V - Numerical Methods for Interface Problems (3 units),,,"In this course, we will be teaching several numerical methods for the interface problems and their applications to multiphase fluid flow, structure design and image segmentations. Students should have advanced numerical methods knowledge. They should seek the course instructorâs approval to take this course.",MATH 5311,,[3-0-0:3],,,,
MATH 6900A,MATH 6900A - Mathematics Seminar (1 unit),,,This course will expose our PG students to the current mathematical research and development and provide them with opportunities to make mathematical and social contacts with the speakers and with local and international mathematical communities in general. Graded P or F.,,,[0-1-0:1],MATH 600A,,,
MATH 6900B,MATH 6900B - Mathematics Seminar (1 unit),,,This course will expose our PG students to the current mathematical research and development and provide them with opportunities to make mathematical and social contacts with the speakers and with local and international mathematical communities in general. Graded P or F.,,,[0-1-0:1],MATH 600B,,,
MATH 6900C,MATH 6900C - Mathematics Seminar (1 unit),,,This course will expose our PG students to the current mathematical research and development and provide them with opportunities to make mathematical and social contacts with the speakers and with local and international mathematical communities in general. Graded P or F.,,,[0-1-0:1],MATH 600C,,,
MATH 6900D,MATH 6900D - Mathematics Seminar (1 unit),,,This course will expose our PG students to the current mathematical research and development and provide them with opportunities to make mathematical and social contacts with the speakers and with local and international mathematical communities in general. Graded P or F.,,,[0-1-0:1],MATH 600D,,,
MATH 6911A,MATH 6911A - Reading Course: Advanced Topic on Algebraic Coding Theory (3 units),,,"This is the course that will prepare the student to conduct research on 2-to-1 functions, intended as part of the thesis topic. The main materials that will be covered would be: algebraic number theory, techniques for computation of Galois groups for low degree polynomials, permutation rational function, exceptional functions and applications of 2-to-1 functions in coding theory. A large part of this course will be reading related papers. Students should seek approval from the course instructor to take this course.",,,[3-0-0:3],,,,
MATH 6911B,MATH 6911B - Reading Course: Data Analytic Methods for Finance (3 units),,,"This PG reading course concerns with data analytic methods for quantitative investments, including data-driven algorithmic trading, high-frequency trading, derivatives hedging as well as pricing. Students should seek approval from the course instructor to take this course.",MATH 2421,,[3-0-0:3],,,,
MATH 6911C,MATH 6911C - Reading Course: Buildings and Loop Groups (2 units),,,We will read references discussing the BN-pair structure of Kac-Moody groups and its generalization to p-adic groups and Loop groups. Students should seek approval from the course instructor to take this course.,,,[2-0-0:2],,,,
MATH 6914J,MATH 6914J - Reading Course: Spectral Theory of Differential Operators (1 unit),,,"In this reading course, we give a detailed overview of the techniques and results of the analysis of systems of ordinary differential equations with periodic coefficients, with particular emphasis on the spectral theory of Sturm-Liouville and Dirac operators. Students should seek the course instructorâs approval to take this course.",,,[1-0-0:1],,,,
MATH 6914K,MATH 6914K - Reading Course: Acceleration Techniques for Compressible Flow Simulation (1 unit),,,"This reading course covers local time steeping, entropy damping, residual smoothing, multigrid, preconditioning for low Mach number flow and generalized minimal residual method.",,,[1-0-0:1],,,,
MATH 6914L,MATH 6914L - Reading Course: Blockchain Scaling Solutions (3 units),,,"Blockchain technology has been one of the fastest growing technologies with wide applications in the past decade. However, major blockchains, such as bitcoin and Ethereum, suffer low transaction rates and high transaction processing latencies, which hinder blockchainsâ scalability. The layer-1 scalability solutions have their own limitations. Layer-2 scalability solutions are widely considered to be the most important approach to solving the blockchain scalability issues. There already exist several methods: payment state channels, plasma, rollups, validium, etc. This reading course will cover the most recent advances in this topic, particularly on zk rollups. Layer-2 blockchain protocols have the potential to the game changer in the blockchain industry. Students should seek the course instructorâs approval to take this course.",,,[3-0-0:3],,,,
MATH 6914M,MATH 6914M - Reading Course: Analysis of Financial Time Series (1 unit),,,"Analysis of asset returns: autocorrelation, predictability and prediction. Volatility models: GARCH-type models, long range dependence. High frequency data analysis: transactions data, duration. Markov switching and threshold models. Multivariate time series: co-integration models and vector GARCH models.",,,[1-0-0:1],,,,
MATH 6914N,MATH 6914N - Reading Course: Concentration Inequalities and Applications (3 units),,,"Concentration of sum of random variables, fluctuations of functions of independent random variables, random fluctuations of suprema of empirical processes, applications in statistics and machine learning. Students should seek the course instructorâs approval to take this course.",MATH 5411,,[3-0-0:3],,,,
MATH 6914O,MATH 6914O - Reading Course: High-order Gas-kinetic Scheme for Flow Simulations (1 unit),,,This reading course covers topics including: 1) Derivation of Navier-Stokes equations 2) Derivation of Boltzmann equation 3) Shock capturing schemes 4) High-order reconstruction 5) Evolution model and compact scheme 6) Turbulence modeling and simulation.,,,[1-0-0:1],,,,
MATH 6914P,MATH 6914P - Reading Course: Numerical Methods for Incompressible Fluid Flow (1 unit),,,The student will read 5 papers on the Numerical methods for incompressible fluid flow and report to the instructor.,,,[1-0-0:1],,,,
MATH 6914Q,MATH 6914Q - Reading Course: Regularity for Elliptic Equations of Second Order (3 units),,,"De Giorgi-Nash-Moser theory for elliptic equations in divergence form, Krylov-Safonov theory for elliptic equations in non-divergence form, Schauder regularity theory, W^{2,p} regularity theory, viscosity solutions, fully nonlinear equations, Evans-Krylov theorem. Students should seek approval from the course instructor to take this course.",,,[3-0-0:3],,,,
MATH 6914R,MATH 6914R - Reading Course: Particle Methods for Fluid Simulations (3 units),,,This course covers topics including: 1) Smoothed Particle Hydrodynamics 2) Direct Simulation Monte Carlo Method 3) Discrete Phase Model 4) Dissipative Particle Dynamics. Students should seek approval from the course instructor to take this course.,,,[3-0-0:3],,,,
MATH 6914S,MATH 6914S - Reading Course: Introduction to Reinforcement Learning Models (3 units),,,This course discusses mathematical models for reinforcement learning. Students should seek approval from the course instructor to take this course.,,,[3-0-0:3],,,,
MATH 6914T,MATH 6914T - Reading Course: Introduction to Computational Stochastic PDEs (3 units),,,This course provides an introduction to numerical methods for solving stochastic partial differential equations. Students should seek the course instructorâs approval to take this course.,,,[3-0-0:3],,,,
MATH 6914U,MATH 6914U - Reading Course: Theories of Biological Learning in Neural Networks (3 units),,,Learning in nervus systems relies on modifying synapses between neurons which needs to be implemented by cellular mechanisms obeys various biological constraints. This results in different learning algorithms from those in artificial neural networks. The course aims to review classical theoretical methods and results that characterize the such biological learning algorithms in simplified models of neural circuits. Students should seek approval from the course instructor to take this course.,,,[3-0-0:3],,,,
MATH 6914V,MATH 6914V - Reading Course: Topics in Geometric Representation Theory (3 units),,,The aim of the course is to cover the background material needed to understand the statement of the geometric Satake equivalence. Part of its proof might also be covered if time permits. Students should seek approval from the course instructor to take this course.,MATH 5111 AND MATH 5240,,[3-0-0:3],,,,
MATH 6914W,MATH 6914W - Reading Course: Mathematical Foundations of Data Science III (3 units),,,We will study statistical and probabilistic tools of data sciences. Students should seek approval from the course instructor to take this course.,,,[3-0-0:3],,,,
MATH 6914X,MATH 6914X - Reading Course: Perverse Sheaves (3 units),,,"Perverse sheaves are fundamental mathematical objects at the crossroads of algebraic geometry, topology, analysis, differential equations, and representation theory. In this reading course, we will read through lecture notes to the introduction of the topic, and discuss its application to the construction of the canonical basis of quantum groups among others. Students should seek approval from the course instructor to take this course.",,,[3-0-0:3],,,,
MATH 6914Y,MATH 6914Y - Reading Course: Statistical Methods for Subgroup Analysis (3 units),,,"This course discusses statistical methods for subgroup analysis, in particular in drug development and regulatory decision-making. Students should seek approval from the course instructor to take this course.",,,[3-0-0:3],,,,
MATH 6914Z,MATH 6914Z - Reading Course: Research Studies on Counting Lattice Points (4 units),,,"Reading papers on counting lattice points: Ehrhart polynomials, lattice polytopes and polyhedral, hyperplane arrangements, toric arrangements, etc. Students should seek approval from the course instructor to take this course.",,,[4-0-0:4],,,,
MATH 6915,MATH 6915 - Scientific Computation Seminar (1 unit),,,This course will expose PG students to the current research and new development in scientific computation and provide them with opportunities to make social contacts with the speakers from both the local and international academic communities. Graded P or F.,,,[0-1-0:1],,"On successful completion of the course, students will be able to:1.Attend 6 seminars related to the scientific computation from the home or other departments in the whole semester.",,
MATH 6915A,MATH 6915A - Scientific Computation Seminar (1 unit),,,This course will expose PG students to the current research and new development in scientific computation and provide them with opportunities to make social contacts with the speakers from both the local and international academic communities. Graded P or F.,,,[0-1-0:1],,,,
MATH 6916,MATH 6916 - Student Seminars on Computation Related Research (1 unit),,,Seminar presentation on computation related research by students in the Scientific Computation Concentration (SCC) within the first four regular terms of study. Students should notify their major department 2-3 weeks in advance for the presentation. Graded P or F.,,,[0-1-0:1],,"On successful completion of the course, students will be able to:1.Demonstrate knowledge and understanding on computation related research.",,
MATH 6990,MATH 6990 - MPhil Thesis Research (0 units),,,Master's thesis research supervised by a faculty member.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.,,,,MATH 699,"On successful completion of the course, students will be able to:1.Demonstrate abilities to conduct  research in mathematics.2.Demonstrate knowledge in the chosen discipline of mathematics.3.Synthesize and create new knowledge and to making contributions to the discipline of mathematics.4.Demonstrate communication skills in presenting reporting findings in mathematics.",,
